ward,walk,age,floor,rent,type,area,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,6,3,182000,1LDK,35.55,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,5,8,214000,1R,40.01,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,5,11,227000,1R,40.01,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,3,6,159000,1DK,29.69,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,7,0,4,154000,1LDK,26.95,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,2,2,125000,1DK,30.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,6,5,290000,2LDK,53.01,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,12,2,120000,1K,27.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,1,39,3,86000,1R,19.6,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,4,5,147000,1LDK,30.45,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,7,3,138500,2K,25.85,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,5,1,155000,1LDK,37.07,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,3,5,151000,1DK,26.1,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,2,4,164000,1DK,25.28,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,2,10,168000,1DK,25.28,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,13,7,159000,1K,32.19,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,5,2,145000,1LDK,33.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,7,6,134000,2K,30.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,9,5,3,115000,1R,24.67,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,3,1,160000,1LDK,37.55,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,10,2,116000,1R,23.04,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,2,3,134000,1LDK,31.56,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,14,3,160000,1LDK,36.98,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,14,9,168000,1LDK,35.24,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,11,3,135000,1K,25.13,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,14,8,109000,1K,25.5,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,0,6,162000,1K,28.08,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,0,3,183000,1LDK,31.86,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,0,7,186000,1DK,31.14,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,0,11,190000,1DK,31.14,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,8,3,139000,1DK,25.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,8,9,146000,1K,25.36,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,0,5,160000,1DK,25.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,7,6,229000,1LDK,40.8,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,8,5,230000,1LDK,40.07,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,4,3,125000,1K,23.2,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,2,6,295000,2LDK,65.61,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,2,7,176000,1LDK,30.43,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,4,4,142000,2K,25.89,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,10,3,183000,1LDK,35.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,0,3,277000,2LDK,55.7,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,5,5,150000,1DK,26.07,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,11,7,185000,1LDK,43.82,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,3,2,217000,1LDK,39.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,3,5,263000,2LDK,46.92,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,3,4,156000,1DK,27.05,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,3,3,133000,1K,25.11,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,6,3,177000,1LDK,35.55,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,3,4,208000,2LDK,47.56,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,5,8,214000,1R,40.01,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,3,2,143000,1DK,29.69,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,7,0,4,154000,1LDK,26.95,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,2,2,125000,1DK,30.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,6,5,290000,2LDK,53.01,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,8,1,229000,2LDK,60.11,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,12,2,120000,1K,27.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,1,39,3,86000,1R,19.6,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,4,2,124000,1DK,23.1,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,7,3,138500,2K,25.85,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,5,1,155000,1LDK,37.07,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,7,6,139000,1K,31.01,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,3,5,151000,1DK,26.1,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,2,4,164000,1DK,25.28,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,13,3,145000,1K,26.15,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,16,6,120000,1R,27.57,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,5,2,145000,1LDK,33.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,7,1,130000,1DK,30.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,9,5,3,115000,1R,24.67,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,3,1,160000,1LDK,37.55,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,10,-1,95000,1R,20.21,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,2,3,134000,1LDK,31.56,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,20,3,130000,1LDK,43.52,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,14,3,160000,1LDK,36.98,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,1,1,120000,1K,21,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,11,3,135000,1K,25.13,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,11,7,168000,1LDK,32.11,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,14,2,103000,1K,25.5,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,0,6,162000,1K,28.08,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,0,2,182000,1LDK,31.86,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,8,3,139000,1DK,25.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,0,2,155000,1DK,25.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,5,6,139000,1K,26.15,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,16,6,120000,1R,27.57,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,5,2,145000,1LDK,33.09,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,7,1,130000,1DK,30.42,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,9,5,3,115000,1R,24.67,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,3,1,160000,1LDK,37.55,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,6,10,-1,95000,1R,20.21,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,2,3,134000,1LDK,31.56,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,5,20,3,130000,1LDK,43.52,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,4,14,3,160000,1LDK,36.98,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,1,1,120000,1K,21,,,,,,,,,,,,,,,,,,,,,,
Shinjuku,3,3,2,217000,1LDK,39.09,,,,,,,,,,,,,,,,,,,,,,
Taito,10,9,7,185000,1LDK,40.37,,,,,,,,,,,,,,,,,,,,,,
Taito,2,21,13,162000,1R,31.64,,,,,,,,,,,,,,,,,,,,,,
Taito,3,27,7,180000,1LDK,40.38,,,,,,,,,,,,,,,,,,,,,,
Taito,3,16,17,230000,1LDK,46.29,,,,,,,,,,,,,,,,,,,,,,
Taito,3,0,6,242000,1LDK,46.78,,,,,,,,,,,,,,,,,,,,,,
Taito,5,1,9,183000,1LDK,30.36,,,,,,,,,,,,,,,,,,,,,,
Taito,4,5,5,155000,1LDK,36.17,,,,,,,,,,,,,,,,,,,,,,
Taito,5,9,13,204000,1LDK,40.56,,,,,,,,,,,,,,,,,,,,,,
Taito,5,17,7,144000,1LDK,30.64,,,,,,,,,,,,,,,,,,,,,,
Taito,4,10,2,177000,1LDK,33.46,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,8,234000,1LDK,46.54,,,,,,,,,,,,,,,,,,,,,,
Taito,3,17,7,170000,1DK,39.06,,,,,,,,,,,,,,,,,,,,,,
Taito,5,9,10,129000,1K,25.32,,,,,,,,,,,,,,,,,,,,,,
Taito,5,4,3,134000,1DK,25.5,,,,,,,,,,,,,,,,,,,,,,
Taito,5,4,12,238000,2LDK,41.04,,,,,,,,,,,,,,,,,,,,,,
Taito,5,4,5,135000,1DK,25.92,,,,,,,,,,,,,,,,,,,,,,
Taito,3,10,11,220000,1LDK,40.45,,,,,,,,,,,,,,,,,,,,,,
Taito,3,10,6,210000,1LDK,40.45,,,,,,,,,,,,,,,,,,,,,,
Taito,5,4,13,245000,2LDK,41.04,,,,,,,,,,,,,,,,,,,,,,
Taito,4,47,7,63000,1R,14.28,,,,,,,,,,,,,,,,,,,,,,
Taito,3,47,4,80000,1R,14.31,,,,,,,,,,,,,,,,,,,,,,
Taito,5,4,13,245000,2LDK,41.04,,,,,,,,,,,,,,,,,,,,,,
Taito,3,47,5,70000,1R,15.84,,,,,,,,,,,,,,,,,,,,,,
Taito,7,9,6,190000,1R,44.16,,,,,,,,,,,,,,,,,,,,,,
Taito,5,34,7,89000,1K,25.89,,,,,,,,,,,,,,,,,,,,,,
Taito,2,9,13,211000,2DK,44.16,,,,,,,,,,,,,,,,,,,,,,
Taito,5,2,13,338000,2LDK,53.9,,,,,,,,,,,,,,,,,,,,,,
Taito,7,2,11,250000,2LDK,52.54,,,,,,,,,,,,,,,,,,,,,,
Taito,7,2,4,183000,1LDK,40.72,,,,,,,,,,,,,,,,,,,,,,
Taito,7,13,9,125000,1K,26.36,,,,,,,,,,,,,,,,,,,,,,
Taito,3,0,10,200000,1LDK,31.11,,,,,,,,,,,,,,,,,,,,,,
Taito,10,28,2,39000,1R,7.87,,,,,,,,,,,,,,,,,,,,,,
Taito,9,36,4,78000,1R,15.13,,,,,,,,,,,,,,,,,,,,,,
Taito,8,28,4,120000,1LDK,49.8,,,,,,,,,,,,,,,,,,,,,,
Taito,9,6,6,113000,1K,25.77,,,,,,,,,,,,,,,,,,,,,,
Taito,8,5,10,132000,1DK,26.67,,,,,,,,,,,,,,,,,,,,,,
Taito,8,55,4,145000,1LDK,43.64,,,,,,,,,,,,,,,,,,,,,,
Taito,9,3,7,166000,1LDK,40.57,,,,,,,,,,,,,,,,,,,,,,
Taito,6,36,4,130000,3DK,54.54,,,,,,,,,,,,,,,,,,,,,,
Taito,6,9,8,170000,1LDK,40.75,,,,,,,,,,,,,,,,,,,,,,
Taito,7,29,2,118000,1DK,34.31,,,,,,,,,,,,,,,,,,,,,,
Taito,8,39,8,70000,2DK,39.25,,,,,,,,,,,,,,,,,,,,,,
Taito,7,2,8,110000,1K,25.57,,,,,,,,,,,,,,,,,,,,,,
Taito,8,12,2,100000,1K,25.81,,,,,,,,,,,,,,,,,,,,,,
Taito,8,47,3,130000,1LDK,34.3,,,,,,,,,,,,,,,,,,,,,,
Taito,9,12,9,143000,1LDK,41.13,,,,,,,,,,,,,,,,,,,,,,
Taito,9,23,2,84000,1K,24.79,,,,,,,,,,,,,,,,,,,,,,
Taito,5,40,3,76000,1DK,28.09,,,,,,,,,,,,,,,,,,,,,,
Taito,7,14,3,68000,1R,14.04,,,,,,,,,,,,,,,,,,,,,,
Taito,6,35,9,77000,1R,25.5,,,,,,,,,,,,,,,,,,,,,,
Taito,6,6,4,156000,1LDK,30.94,,,,,,,,,,,,,,,,,,,,,,
Taito,5,2,2,125000,1R,32.98,,,,,,,,,,,,,,,,,,,,,,
Taito,4,8,4,105000,1DK,26.06,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,3,104000,1DK,25.35,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,5,108000,1DK,25.74,,,,,,,,,,,,,,,,,,,,,,
Taito,4,3,4,119000,1DK,25.02,,,,,,,,,,,,,,,,,,,,,,
Taito,4,3,10,125000,1DK,25,,,,,,,,,,,,,,,,,,,,,,
Taito,6,8,4,106000,1K,25.94,,,,,,,,,,,,,,,,,,,,,,
Taito,6,8,8,106000,1K,25.94,,,,,,,,,,,,,,,,,,,,,,
Taito,7,3,2,141000,1LDK,40.14,,,,,,,,,,,,,,,,,,,,,,
Taito,7,3,2,176000,2LDK,53.63,,,,,,,,,,,,,,,,,,,,,,
Taito,4,4,6,210000,2LDK,52.73,,,,,,,,,,,,,,,,,,,,,,
Taito,4,5,3,150000,1LDK,29.93,,,,,,,,,,,,,,,,,,,,,,
Taito,4,5,11,263000,2LDK,53.91,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,2,114000,1DK,25.31,,,,,,,,,,,,,,,,,,,,,,
Taito,5,9,4,134000,1DK,30.54,,,,,,,,,,,,,,,,,,,,,,
Taito,5,9,10,141000,1DK,33.01,,,,,,,,,,,,,,,,,,,,,,
Taito,4,2,9,200000,2LDK,40.43,,,,,,,,,,,,,,,,,,,,,,
Taito,4,2,7,212000,2LDK,40.43,,,,,,,,,,,,,,,,,,,,,,
Taito,5,9,6,100000,1K,25.92,,,,,,,,,,,,,,,,,,,,,,
Taito,5,9,2,103000,1K,25.24,,,,,,,,,,,,,,,,,,,,,,
Taito,5,8,1,110000,1K,25.6,,,,,,,,,,,,,,,,,,,,,,
Taito,5,8,3,120000,1K,25.34,,,,,,,,,,,,,,,,,,,,,,
Taito,6,5,11,154000,1LDK,44.13,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,3,130000,1DK,25.11,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,8,135000,1DK,25.08,,,,,,,,,,,,,,,,,,,,,,
Taito,4,0,2,153000,1LDK,29.26,,,,,,,,,,,,,,,,,,,,,,
Taito,4,0,3,155000,1LDK,29.26,,,,,,,,,,,,,,,,,,,,,,
Taito,3,5,2,108000,1DK,26.67,,,,,,,,,,,,,,,,,,,,,,
Taito,5,9,6,115000,1R,25.12,,,,,,,,,,,,,,,,,,,,,,
Taito,4,8,7,115000,1K,25.07,,,,,,,,,,,,,,,,,,,,,,
Taito,4,8,8,116000,1K,25.07,,,,,,,,,,,,,,,,,,,,,,
Taito,3,6,8,130000,1DK,25.53,,,,,,,,,,,,,,,,,,,,,,
Taito,3,6,11,131000,1DK,25.53,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,2,133000,1DK,25.28,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,7,146000,1DK,25.23,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,5,110000,1K,25.46,,,,,,,,,,,,,,,,,,,,,,
Taito,5,3,8,112000,1K,25.46,,,,,,,,,,,,,,,,,,,,,,
Taito,5,0,2,156000,1DK,28.13,,,,,,,,,,,,,,,,,,,,,,
Taito,5,0,5,159000,1DK,28.13,,,,,,,,,,,,,,,,,,,,,,
Taito,5,4,3,116000,1K,25.5,,,,,,,,,,,,,,,,,,,,,,
Taito,5,2,5,186000,1LDK,36.38,,,,,,,,,,,,,,,,,,,,,,
Taito,5,2,6,187000,1LDK,36.38,,,,,,,,,,,,,,,,,,,,,,
Taito,3,2,7,143000,1DK,25.13,,,,,,,,,,,,,,,,,,,,,,
Taito,3,2,2,210000,2LDK,41.56,,,,,,,,,,,,,,,,,,,,,,
Taito,2,10,4,150000,1LDK,40.88,,,,,,,,,,,,,,,,,,,,,,
Taito,4,3,2,138000,1DK,25.72,,,,,,,,,,,,,,,,,,,,,,
Taito,4,3,6,138000,1DK,25.72,,,,,,,,,,,,,,,,,,,,,,
Taito,4,8,6,125000,1K,25.33,,,,,,,,,,,,,,,,,,,,,,
Taito,4,8,8,126000,1R,25.35,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,13,6,90000,1LDK,35,,,,,,,,,,,,,,,,,,,,,,
Sumida,3,4,10,150000,1LDK,27,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,9,8,190000,1LDK,34,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,12,3,70000,1K,15,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,5,3,100000,1DK,27,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,10,2,116000,1LDK,46.61,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,2,3,135000,1LDK,30.18,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,2,2,145000,1LDK,30.74,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,31,3,106000,2LDK,47.21,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,11,3,153000,1LDK,37.58,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,10,1,93000,1K,25.66,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,5,3,100000,1DK,25.52,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,3,3,143500,1LDK,33.43,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,8,7,156000,1LDK,32.71,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,3,1,101000,1DK,26.87,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,3,4,152000,1LDK,40.94,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,3,5,157000,1LDK,40.94,,,,,,,,,,,,,,,,,,,,,,
Sumida,3,9,3,126000,1LDK,42.09,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,2,3,100000,1DK,26.68,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,2,5,113000,1DK,25.96,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,4,2,90000,1K,20.7,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,4,3,91000,1K,20.7,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,11,2,183500,2LDK,68.65,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,5,5,102000,1K,26.38,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,6,132000,1K,35.68,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,7,145000,1K,35.68,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,6,144000,1K,35.68,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,5,183000,2LDK,43.64,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,7,185000,2LDK,43.64,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,6,197000,2LDK,43.25,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,1,212000,2LDK,51.58,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,10,4,168000,1LDK,40.26,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,7,7,97000,1K,25.12,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,4,158000,1LDK,40.98,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,0,3,158000,1LDK,40.66,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,2,6,119000,1DK,26.3,,,,,,,,,,,,,,,,,,,,,,
Sumida,11,8,4,89000,1K,25.82,,,,,,,,,,,,,,,,,,,,,,
Sumida,11,8,5,126000,1K,25.78,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,2,3,111000,1DK,25.96,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,2,8,128500,1K,30.01,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,13,4,101000,1K,25.34,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,5,9,156000,2DK,40.36,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,10,5,102000,1K,25.85,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,10,6,104000,1K,25.85,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,4,1,92000,1K,26.23,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,0,4,156000,1LDK,36.51,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,0,2,169000,1LDK,36.51,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,4,3,166000,1LDK,40,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,8,2,101000,1K,25.84,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,4,9,167000,1LDK,30.01,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,10,1,72000,1R,21.26,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,8,4,110000,1K,25.66,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,0,8,152000,1LDK,30.31,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,0,11,153000,1LDK,30.31,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,7,3,129000,1LDK,40.56,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,7,2,145000,1LDK,40.56,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,0,2,124000,1DK,25.62,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,0,4,129000,1DK,25.62,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,4,5,135000,1DK,25.55,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,4,10,140000,1DK,25.55,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,3,6,110000,1K,27.33,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,3,3,145000,1LDK,44.83,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,6,2,121000,1K,25.01,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,6,3,188000,1LDK,40.01,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,2,1,137000,1DK,28.99,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,2,2,142000,1DK,28.99,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,6,2,190000,2DK,38.96,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,6,7,195000,2DK,39.43,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,14,6,100000,1K,25.6,,,,,,,,,,,,,,,,,,,,,,
Sumida,1,4,2,180000,2LDK,52.45,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,5,4,94000,1K,25.8,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,5,4,94000,1K,25.8,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,17,6,83000,1K,22.75,,,,,,,,,,,,,,,,,,,,,,
Sumida,3,4,1,148000,1LDK,30.43,,,,,,,,,,,,,,,,,,,,,,
Sumida,3,4,2,150000,1LDK,30.43,,,,,,,,,,,,,,,,,,,,,,
Sumida,7,14,5,97000,1R,25.28,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,9,3,120000,1K,25.5,,,,,,,,,,,,,,,,,,,,,,
Sumida,5,9,7,223000,1LDK,51,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,8,5,135000,1DK,26.62,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,8,13,143000,1DK,25.65,,,,,,,,,,,,,,,,,,,,,,
Sumida,11,18,2,84000,1K,21.89,,,,,,,,,,,,,,,,,,,,,,
Sumida,11,18,4,85000,1K,21.89,,,,,,,,,,,,,,,,,,,,,,
Sumida,2,10,9,95000,1K,25.5,,,,,,,,,,,,,,,,,,,,,,
Sumida,2,10,8,149000,1LDK,41.16,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,20,2,157000,1LDK,44.9,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,20,3,158000,1LDK,45.1,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,7,2,130000,1K,25.78,,,,,,,,,,,,,,,,,,,,,,
Sumida,8,7,3,131000,1K,25.78,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,6,6,126000,1K,25,,,,,,,,,,,,,,,,,,,,,,
Sumida,9,6,7,130000,1K,25,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,7,4,178000,1LDK,40.76,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,6,1,108000,1K,25.41,,,,,,,,,,,,,,,,,,,,,,
Sumida,4,6,3,111000,1K,25.41,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,20,6,89000,1K,20.37,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,20,3,89000,1K,20.37,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,8,7,132000,1K,25.22,,,,,,,,,,,,,,,,,,,,,,
Sumida,6,8,7,224000,1LDK,50.01,,,,,,,,,,,,,,,,,,,,,,
Sumida,13,0,1,131000,1LDK,33.33,,,,,,,,,,,,,,,,,,,,,,
Sumida,13,0,2,133000,1LDK,33.33,,,,,,,,,,,,,,,,,,,,,,
Sumida,10,5,3,107000,1K,26.96,,,,,,,,,,,,,,,,,,,,,,
Koto,3,41,9,147500,2SLDK,61.62,,,,,,,,,,,,,,,,,,,,,,
Koto,4,52,11,83300,1LDK,40.5,,,,,,,,,,,,,,,,,,,,,,
Koto,5,54,4,92600,2LDK,48,,,,,,,,,,,,,,,,,,,,,,
Koto,3,48.6,2,83500,1R,48.6,,,,,,,,,,,,,,,,,,,,,,
Koto,4,37,4,59800,2K,21.73,,,,,,,,,,,,,,,,,,,,,,
Koto,12,37,1,60000,1R,24.3,,,,,,,,,,,,,,,,,,,,,,
Koto,7,38,2,31000,1K,28.26,,,,,,,,,,,,,,,,,,,,,,
Koto,7,35,2,62000,1K,16,,,,,,,,,,,,,,,,,,,,,,
Koto,3,9,1,63000,1R,13.72,,,,,,,,,,,,,,,,,,,,,,
Koto,10,41,3,64000,1R,18.87,,,,,,,,,,,,,,,,,,,,,,
Koto,13,39,1,65000,1K,23.8,,,,,,,,,,,,,,,,,,,,,,
Koto,3,36,7,65000,1R,18.6,,,,,,,,,,,,,,,,,,,,,,
Koto,6,39,3,66000,1K,21,,,,,,,,,,,,,,,,,,,,,,
Koto,15,26,2,66000,1K,25,,,,,,,,,,,,,,,,,,,,,,
Koto,9,35,2,66000,1K,16.8,,,,,,,,,,,,,,,,,,,,,,
Koto,2,35,4,68000,1R,18.28,,,,,,,,,,,,,,,,,,,,,,
Koto,10,28,2,69000,1K,20.32,,,,,,,,,,,,,,,,,,,,,,
Koto,5,24,3,70000,1R,17.77,,,,,,,,,,,,,,,,,,,,,,
Koto,9,6,4,70000,1R,16.73,,,,,,,,,,,,,,,,,,,,,,
Koto,10,5,1,70000,1R,18.63,,,,,,,,,,,,,,,,,,,,,,
Koto,13,22,1,70000,1R,22,,,,,,,,,,,,,,,,,,,,,,
Koto,8,10,3,70000,1R,18.92,,,,,,,,,,,,,,,,,,,,,,
Koto,3,33,3,71000,1R,18.06,,,,,,,,,,,,,,,,,,,,,,
